,Frquent words
0,"research, year, bonn, artificial, computer, video, cad, physical, university, page"
1,"lab, student, media, winner, online, page, hackathon, computer, science, mit"
2,"engineering, data, skillsdata, analysisstatisticspandascertificationsprobability, statistics, forbusiness, science, mathematics, machine, algebraexploratory"
3,"skillsdata, analysispublic, speakingleadershipaditya, jaiswalactively, looking, data, analystrolesindiaexperiencekalpavruksh, technologiesdata, science, internmay"
4,"b, r, ambedkar, national, institute, skillsdata, structuresmachine, photoshop, programming, data"
5,"data, learning, model, science, deep, end, using, competition, intern, detection"
6,"data, electronics, learning, computer, science, certified, engineeringtrainee, developer, central, page"
7,"skillsandroid, developmentjavadata, analysiscertificationspython, data, sciencedata, analysis, pythonemc, proven, professionalcertification, vissapragadaseeking"
8,"data, using, machine, create, year, end, learning, experience, model, type"
9,"neural, learning, deep, machine, networks, study, computer, skillsmachine, learningpublic, speakingstrategic"
10,"learning, data, google, cloud, computer, science, contacthitec, skillspythonmachine, learningmicrosoft, officecertificationsnatural"
11,"data, science, analysis, regression, analytics, model, machine, hypothesis, technique, mining"
12,"new, computer, skillspublic, speakingbusiness, developmentmicrosoft, powerpointabhinand, vsactively, looking, opportunitiesbengalurusummaryclient, lead"
13,"development, computer, science, end, alapatisoftware, engineer, software, developerexperienceamazonsoftware, engineerseptember, present"
14,"technology, institute, product, science, june, page, engineer, dassault, systèmespunesummaryexperienced, developer"
15,"data, intern, field, year, present, thapar, technical, various, page, research"
16,"engineering, computer, software, skillscore, bhattaspiring, data, scientistthanesummaryexperienced, frontend, developer, demonstrated"
17,"science, data, learning, community, information, skillsdata, analysisstatisticspythonlanguagesnepali, networks, deep, learningpython"
18,"learning, data, science, machine, deep, enthusiastic, skillspython, learningdeep, web, developerspython"
19,"data, pg, general, skillspython, excelmachine, learningnelson, rajactively, looking, new, career"
20,"software, excelatul, sagotraassociate, engineer, xoriantmohalisummarylooking, development, good, knowledge, django, engineeraugust"
21,"learning, year, deep, july, engineer, machine, technology, development, york, using"
22,"business, learning, python, june, technology, skillsjavamachine, learningclanguageshindienglishpunjabicertificationsmachine, pythonintroduction, datasciencecleaning, data"
23,"intelligence, new, mainly, thing, many, reach, thinkers, skillspython, data, analysis"
24,"computer, science, hindi, mishrafreshersbengalurusummarystrong, design, integration, intuitive, passionate, implementingand, launching"
25,"project, using, worked, ibm, platform, development, cognitive, computer, science, technology"
26,"data, place, led, development, research, team, science, implemented, computer, included"
27,"data, industrial, engineering, database, science, page, june, machine, business, cal"
28,"science, computer, skillsc, chandrabhan, patiljunior, enthusiast, phule, pune, societys, bhonsala"
29,"development, learning, may, algorithm, would, page, data, using, test, science"
30,"year, data, education, worth, learning, exam, student, page, august, advocate"
31,"forensic, science, diploma, v, iyerupsc, aspirantchennaieducationinternational, pune, pg, criminology, forensicscience"
32,"year, python, deep, learning, active, online, course, using, based, control"
33,"data, system, institute, several, custom, using, learning, python, science, technology"
34,"data, analytics, business, science, mathematics, skillsstatistical, analysismathematicsdata, analysisaditi, chatterjeelooking, job"
35,"data, learning, seller, science, risk, handle, interpret, june, service, page"
36,"professional, recruiting, resources, year, experience, may, hr, hiring, handling, campus"
37,"gandhi, prodyogiki, engineering, chaturvediattended, rajiv, vishwavidyalayaindoreeducationrajiv, vishwavidyalayabachelor, civil, page"
38,"data, problem, learning, software, development, every, using, page, analytics, step"
39,"ai, product, year, algorithm, used, system, page, cv, team, implemented"
40,"science, deep, computer, machine, neural, kumar, amazon, google, space, page"
41,"science, learning, data, year, institute, skillsmachine, learningpython, coursechithra, n, jmachine"
42,"engineering, data, tree, institute, bangalorebachelor, mechanical, skillspython, vassociate, analyst, l"
43,"deep, learning, intelligence, engineering, machine, ai, researcher, electrical, electronics, skillspython"
44,"science, data, place, analyst, electronic, year, chikmagalur, skillspython, learningdeep, learninglanguageskannada"
45,"science, r, computer, mathematics, andstatistics, contactsg, venketeshwara, skillsmicrosoft, excelresearchr, smallbusiness"
46,"google, cloud, jyothi, institute, skillsc, management, computeengine, specializationgoogle, core, infrastructurepython"
47,"year, vision, journal, using, experience, project, system, systems, image, learning"
48,"present, skillshtmlcascading, style, sheets, developer, ui, learner, college, gold, medalistheavyweight"
49,"professional, recruiting, resources, year, experience, may, hr, hiring, handling, campus"
