,Important Words
0,"bonn, cad, physical, research, video, artificial, mathematics, university, year, doctor"
1,"lab, winner, media, online, student, mit, mellon, raj, turing, leading"
2,"engineering, dinesh, analysisstatisticspandascertificationsprobability, algebraexploratory, statistician, numbers, babudata, guychennaieducationsaveetha, parsam, statistics"
3,"relations, chemical, guwahatipublic, guwahatieducationindian, guwahatibachelor, speakingleadershipaditya, jaiswalactively, analystrolesindiaexperiencekalpavruksh, analysispublic, iit"
4,"ambedkar, national, institute, structuresmachine, jalandharstudentaugust, cse, vidyalayaxii, sonicse, photoshop, jalandharbtech"
5,"model, data, competition, learning, end, detection, intern, fest, annual, butler"
6,"data, electronics, engineeringtrainee, central, certified, developer, learning, servicesmachine, andunstructured, graduated"
7,"developmentjavadata, proven, dreamsexperiencesmartbridge, growthhyderabadsummarysimple, skillsandroid, vissapragadaseeking, man, analysiscertificationspython, professionalcertification, pythonemc"
8,"create, using, data, type, end, machine, used, stay, andsub, freelancer"
9,"neural, learning, networks, study, deep, machine, speakingstrategic, planninglanguagesspanishenglishcertificationsconvolutional, currentlyenrolled, courseramachine"
10,"learning, google, cloud, data, servicesassistant, indiatata, indiaeducationuttar, contacthitec, practitioner, pradesh"
11,"regression, data, analytics, analysis, hypothesis, forecasting, model, mining, technique, language"
12,"new, codes, market, marketingcomfortable, marketingplanning, educationbangalore, improving, developmentmicrosoft, powerpointabhinand, speakingbusiness"
13,"end, development, developmenteducationbirla, indianvidiasoftware, indiainterned, mesrabachelor, back, front, alapatisoftware, codeasylums"
14,"institute, product, technology, indore, dassault, btech, react, companyassociate, winter, engineerapril"
15,"intern, field, thapar, writer, data, marketing, various, technical, across, student"
16,"engineering, software, existing, cascading, scientistthanesummaryexperienced, indiaeducationgreat, experienceimpaq, monthsfrontend, skillscore, indiaconverting"
17,"community, information, science, pictureusing, lpuhackathondescriptive, beautiful, flowing, byteof, choice, impact"
18,"learning, enthusiastic, deep, data, machine, indiabrushed, structurespython, ece, advanced, experienceinvisible"
19,"general, pg, talent, roleswhere, rajactively, learningnelson, excelmachine, schoolssc, degree, high"
20,"software, xoriantmohalisummarylooking, indiaeducationcgc, django, landranbachelor, excelatul, sagotraassociate, softwareengineering, ict, good"
21,"july, deep, learning, year, engineer, york, various, machine, development, malwares"
22,"business, python, indiacetpa, indiaeducationsrm, pythonintermediate, sabre, martiniere, datasciencegurveen, monthsassociate, datasciencecleaning"
23,"thinkers, reach, mainly, thing, intelligence, many, born, enthusiastalappuzhasummaryi, whatever, whati"
24,"hindi, launching, implementingand, mishrafreshersbengalurusummarystrong, hoshangabad, firm, intuitive, reputed, integration, driven"
25,"project, ibm, bug, cognitive, platform, using, worked, watson, iautomate, tools"
26,"place, led, included, implemented, development, bird, voice, streaming, cisco, live"
27,"industrial, database, luis, cal, polytechnic, microsoft, data, state, central, process"
28,"patiljunior, bhonsala, military, societys, chandrabhan, nashik, phule, pune, skillsc, enthusiast"
29,"would, development, calamos, peer, algorithm, test, made, creating, may, code"
30,"education, worth, exam, year, student, data, august, biology, leveraged, organizational"
31,"forensic, diploma, maduraipg, criminal, commerce, iyerupsc, corrections, labour, admin, publicadministration"
32,"python, active, course, online, deep, year, electronicsengineering, decided, philosophy, started"
33,"system, custom, several, nasa, migration, institute, data, anomaly, built, gui"
34,"analytics, mathematics, business, learningpost, chatterjeelooking, analysismathematicsdata, kolkatabachelor, analysisaditi, skillsstatistical, winnerkolkataeducationgreat"
35,"seller, data, interpret, risk, handle, learning, service, prominent, turn, indiaworked"
36,"recruiting, resources, hiring, professional, arts, campus, hr, handling, communication, experience"
37,"prodyogiki, gandhi, rajiv, chaturvediattended, civil, vishwavidyalayaindoreeducationrajiv, vishwavidyalayabachelor, engineering, page, fault"
38,"problem, faces, step, detect, data, every, analytics, based, development, learning"
39,"ai, product, cv, successfully, algorithm, used, implemented, effort, system, important"
40,"deep, kumar, space, science, amazon, google, computer, machine, internjune, neural"
41,"institute, technologymaster, jmachine, foundationlead, pursuingan, resourcefulness, willbe, consultantaugust, exciting, consultant"
42,"bangalorebachelor, tree, engineering, mechanical, institute, karnatakaeducationvemana, antzassociate, cgnreasearch, vassociate, engineerbengaluruexperiencel"
43,"intelligence, deep, researcher, electrical, learning, ai, electronics, engineering, languageccertificationsai, forwardto"
44,"electronic, place, science, analyst, secured, learninglanguageskannada, indiaeducationvisvesvaraya, navodaya, experiencebharat, experiencewith"
45,"andstatistics, mathematics, mangalorehigher, anappetite, intoa, deemed, alwaysstrive, christ, basicsaudio, modern"
46,"jyothi, google, cloud, institute, cstudent, infrastructurepython, servicesessential, structureselastic, technologyhyderabadexperienceolikfrontend, indiaeducationvidya"
47,"vision, journal, year, systems, experience, project, image, nehru, sivani, sri"
48,"ambassadoraugust, gold, indiaeducationpunjab, skillshtmlcascading, medalistheavyweight, lifter, ambassadorjune, indiacampus, mun, jalandharbachelor"
49,"recruiting, resources, hiring, professional, arts, campus, hr, handling, communication, experience"
